"1","AFADE","1","aal","7","How extendable is Makary literature to Afade villages?Are Afade speakers' high level of oral comprehension of Mpade due to inherent intelligibility or to general bilingualism?Sean Allison is trying to work with this group also.","CM","","36000","5,000 in Cameroon (Tourneux 2004). Population total all countries: 36,000.","Afro-Asiatic","4"
"5","AGHEM","1","agq","6","The prospective language development team may want to introduce Aghem literature at Bu (Laimbue) and Fungom in order to test their acceptability.  -At least 3 CREA word lists are available.-Eth14: May be intelligible with Isu or Weh. Regional differen","CM","Anglophone","26700","26,700 (2000), increasing.","Niger-Congo","7"
"63","AKOOSE","1","bss","6","An attempt be made to use lower Bakossi as the reference dialect. Continuing evaluation should be done in monitoring the various factors to see there are any major changes in the future.CREA word list is for Nninong dialect.","CM","Anglophone","100000","100,000 (2001 SIL), increasing.","Niger-Congo","5"
"7","AKUM","1","aku","7","Breton 1993 writes about this.  See comments in Yukuben entry.Eth14: Isolated, no roads. Bilingualism in Jukun is limited. Cameroonian Pidgin is spoken  in the area also.","CM","Anglophone","1400","1,400 in Cameroon (2002 SIL).","Niger-Congo","7"
"4","AMBELE","1","ael","7","est. pop: 4,600villages: AMBELLE, ANJAKE, AWI, BARAMBICHANG, EGBECHU, LAPU, MENDA, OLORUNTI, TAMBANG, TANKA.Needs RA.  Difficult access.  Road access to Olorunti.  Must cross large hanging bridge and trek from there on.","CM","Anglophone","2600","2,600 (2000 SIL).","Niger-Congo","7"
"252","ARABIC, CHADIAN SPOKEN","1","shu","4","OT translation going on.  NT in both Arabic and Roman scripts.","CM","Francophone","1139000","896,000 in Chad (2006), increasing. Population total all countries: 1,139,000.","Afro-Asiatic","4"
"11","ATONG","1","ato","8","est. pop: 4,000Villages: AKANUNKUANJAKE, ANJING, ATONG, EKOH, EMUAIs intelligibility of Manta (Bantakpa) inherent or learned?Difficult access.  Maybe go to Ngwo with 4WD and trek on to Eko.","CM","Anglophone","4200","4,200 (2000 SIL).","Niger-Congo","7"
"12","AWING","1","azo","6","Grebe says population could be 20,000+.Eth14: 74% lexical similarity with Bamukumbit.  Also related to Bafut, Bambili, Kpati, Mendankwe, Ngemba, and Pinyin.","CM","Anglophone","19000","19,000 (2001 SIL).","Niger-Congo","7"
"25","BABA","1","bbw","7","info from SIL 1982,87.Speakers refer to their language as 'Papia'.  Related to Mungaka.","CM","Anglophone","24500","24,500 (2005 SIL).","Niger-Congo","7"
"23","BABANKI","1","bbk","6","Population: 30,000Eth14:Two primary villages:   'Kejom Keku' (Big Babanki) and 'Kedom Ketingo.","CM","Anglophone","39000","39,000 (2011 SIL), increasing.","Niger-Congo","7"
